read amount,comments,title,content link,author,create time
157,0,中芯国际本周融资净偿还4638.16万元，居半导体板块第七,"/news,688981,1338453643.html",大眼看两融,08-06 03:03
137,0,沪股通连续3周净卖出中芯国际 累计净卖出3341.66万元,"/news,688981,1338448621.html",胖猫周周见,08-06 02:06
396,5,中芯国际：融资净偿还4256.73万元，融资余额32.37亿元（08-04）,"/news,688981,1338336661.html",中芯国际资讯,08-05 07:43
185,3,中芯国际08月03日被沪股通减持8.81万股,"/news,688981,1338024075.html",中芯国际资讯,08-04 10:41
117,0,中芯国际：融资净偿还1325.31万元，融资余额32.79亿元（08-03）,"/news,688981,1337883621.html",中芯国际资讯,08-04 07:42
89,1,中芯国际08月02日被沪股通减持2.87万股,"/news,688981,1337539097.html",中芯国际资讯,08-03 10:06
123,0,中芯国际：融资净买入561.99万元，融资余额32.92亿元（08-02）,"/news,688981,1337454997.html",中芯国际资讯,08-03 07:43
204,0,中芯国际08月01日沪股通持有量363.64万股,"/news,688981,1337048989.html",中芯国际资讯,08-02 09:13
138,0,中芯国际：融资净买入1124.85万元，融资余额32.87亿元（08-01）,"/news,688981,1337036117.html",中芯国际资讯,08-02 08:09
109,0,中芯国际07月31日被沪股通减持7.14万股,"/news,688981,1336602715.html",中芯国际资讯,08-01 09:20
177,1,中芯国际：连续4日融资净偿还累计8241.82万元（07-31）,"/news,688981,1336585071.html",中芯国际资讯,08-01 07:46
142,0,中芯国际本周融资净偿还4584.39万元，居半导体板块第五,"/news,688981,1336043115.html",大眼看两融,07-30 03:03
110,0,沪股通连续2周净卖出中芯国际 累计净卖出2365.97万元,"/news,688981,1336037783.html",胖猫周周见,07-30 02:07
302,1,中芯国际07月28日被沪股通减持4.63万股,"/news,688981,1335956042.html",中芯国际资讯,07-29 10:01
167,1,中芯国际：连续3日融资净偿还累计7498.86万元（07-28）,"/news,688981,1335945939.html",中芯国际资讯,07-29 07:49
154,1,中芯国际07月27日被沪股通减持15.05万股,"/news,688981,1335526488.html",中芯国际资讯,07-28 09:42
139,3,中芯国际：融资净偿还3803.39万元，融资余额33.09亿元（07-27）,"/news,688981,1335475913.html",中芯国际资讯,07-28 07:46
115,0,中芯国际07月26日被沪股通减持4.34万股,"/news,688981,1335033642.html",中芯国际资讯,07-27 09:05
110,0,中芯国际：融资净偿还1110.32万元，融资余额33.47亿元（07-26）,"/news,688981,1335021526.html",中芯国际资讯,07-27 07:51
135,0,中芯国际07月25日被沪股通减持14.25万股,"/news,688981,1334585618.html",中芯国际资讯,07-26 09:33
120,0,中芯国际：融资净买入1566.91万元，融资余额33.58亿元（07-25）,"/news,688981,1334551918.html",中芯国际资讯,07-26 07:43
110,0,中芯国际07月24日被沪股通减持1.85万股,"/news,688981,1334119960.html",中芯国际资讯,07-25 09:26
138,1,中芯国际：融资净买入1347.55万元，融资余额33.42亿元（07-24）,"/news,688981,1334095942.html",中芯国际资讯,07-25 07:42
144,0,中芯国际本周融资净偿还2772.34万元，居半导体板块第十六,"/news,688981,1333572088.html",大眼看两融,07-23 03:04
148,0,中芯国际本周被沪股通减持7.7万股 最新持股量411.56万股,"/news,688981,1333566838.html",胖猫周周见,07-23 02:07
235,0,中芯国际07月21日被沪股通减持9.02万股,"/news,688981,1333500308.html",中芯国际资讯,07-22 10:52
148,0,中芯国际：融资净偿还2918.03万元，融资余额33.29亿元（07-21）,"/news,688981,1333487931.html",中芯国际资讯,07-22 07:47
111,0,中芯国际07月20日沪股通持有量420.58万股,"/news,688981,1333120123.html",中芯国际资讯,07-21 09:42
120,0,中芯国际：融资净偿还3093.93万元，融资余额33.58亿元（07-20）,"/news,688981,1333062321.html",中芯国际资讯,07-21 07:46
103,0,中芯国际07月19日被沪股通减持3.4万股,"/news,688981,1332608437.html",中芯国际资讯,07-20 09:29
158,0,中芯国际：连续3日融资净买入累计3239.62万元（07-19）,"/news,688981,1332580365.html",中芯国际资讯,07-20 07:48
82,0,中芯国际07月18日获沪股通增持5.34万股,"/news,688981,1332162413.html",中芯国际资讯,07-19 09:17
3370,11,千亿芯片巨头突然宣布换帅！中芯国际：董事长高永岗辞职,"/news,688981,1332164053.html",中芯国际资讯,07-19 09:05
137,1,中芯国际：融资净买入704.6万元，融资余额33.85亿元（07-18）,"/news,688981,1332144720.html",中芯国际资讯,07-19 07:45
3115,15,中芯国际再度换帅 两年内两次调整,"/news,688981,1332014389.html",中芯国际资讯,07-18 04:04
5530,7,港股公告精选︱中芯国际高层突发人事变动；中国恒大两年净亏损8120亿元，总负债超2.4万亿元,"/news,688981,1331722117.html",中芯国际资讯,07-18 08:36
124,1,中芯国际：融资净买入2138.23万元，融资余额33.78亿元（07-17）,"/news,688981,1331716117.html",中芯国际资讯,07-18 07:43
1417,2,中芯国际再度“换帅” 高永岗辞任董事长、刘训峰接任,"/news,688981,1331659848.html",中芯国际资讯,07-17 09:18
2457,4,千亿芯片龙头换帅 继任者是他！,"/news,688981,1331656103.html",中芯国际资讯,07-17 09:00
26800,74,中芯国际两年内二度换帅 新董事长有大基金背景,"/news,688981,1331654644.html",中芯国际资讯,07-17 08:54
2485,13,芯片巨头中芯国际“换帅”：高永岗辞任董事长 刘训峰接棒,"/news,688981,1331646392.html",中芯国际资讯,07-17 08:13
630,0,中芯国际：高永岗辞任董事长,"/news,688981,1331645739.html",中芯国际资讯,07-17 08:10
1068,2,刚刚官宣！中芯国际换帅！,"/news,688981,1331645010.html",中芯国际资讯,07-17 08:01
205,0,中芯国际时隔两年再换帅！高永岗辞任 大基金推选刘训峰数月完成“空降”,"/news,688981,1331718691.html",中芯国际资讯,07-17 07:48
3553,10,突发！高永岗辞任中芯国际董事长 刘训峰接任,"/news,688981,1331626318.html",中芯国际资讯,07-17 06:30
1858,9,中芯国际董事长高永岗辞职 刘训峰接任,"/news,688981,1331625405.html",中芯国际资讯,07-17 06:29
980,0,中芯国际：变更董事长及执行董事,"/news,688981,1331614659.html",中芯国际资讯,07-17 05:41
1262,6,中芯国际：高永岗因工作调整辞任公司董事长,"/news,688981,1331614661.html",中芯国际资讯,07-17 05:41
5807,28,中芯国际：高永岗辞任公司董事长 刘训峰接任,"/news,688981,1331614041.html",中芯国际资讯,07-17 05:37
75,0,融资融券周汇总：中芯国际本周融资净偿还313.66万元,"/news,688981,1331235363.html",大眼看两融,07-16 03:03
118,0,中芯国际本周获沪股通增持8.69万股 最新持股量419.26万股,"/news,688981,1331230342.html",胖猫周周见,07-16 02:09
198,0,中芯国际07月14日被沪股通减持1.62万股,"/news,688981,1331152040.html",中芯国际资讯,07-15 08:54
139,0,中芯国际：融资净偿还2184.78万元，融资余额33.57亿元（07-14）,"/news,688981,1331146293.html",中芯国际资讯,07-15 07:48
81,0,中芯国际07月13日获沪股通增持12.59万股,"/news,688981,1330718540.html",中芯国际资讯,07-14 09:25
124,1,中芯国际：融资净偿还3277.07万元，融资余额33.78亿元（07-13）,"/news,688981,1330695197.html",中芯国际资讯,07-14 07:47
